"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","149","Update a book with invalid ID","","Fri Jan 03 17:20:54 UTC 2025","passed","Fri Jan 03 17:20:55 UTC 2025","","Update Book API","Update a book with invalid ID",""
"","117","Admin sends a POST request with missing values in the payload (BUG EXPECTED)","","Fri Jan 03 17:20:56 UTC 2025","failed","Fri Jan 03 17:20:56 UTC 2025","","Add new book to the system","Admin sends a POST request with missing values in the payload (BUG EXPECTED)",""
"","131","update a book with invalid payload","","Fri Jan 03 17:20:54 UTC 2025","passed","Fri Jan 03 17:20:54 UTC 2025","","Update Book API","update a book with invalid payload",""
"","125","Admin adds a book with unexpected attributes in the payload (BUG EXPECTED)","","Fri Jan 03 17:20:56 UTC 2025","failed","Fri Jan 03 17:20:56 UTC 2025","","Add new book to the system","Admin adds a book with unexpected attributes in the payload (BUG EXPECTED)",""
"","2319","Successfully update a book","","Fri Jan 03 17:20:52 UTC 2025","failed","Fri Jan 03 17:20:54 UTC 2025","","Update Book API","Successfully update a book",""
"","681","Admin adds a new book successfully","","Fri Jan 03 17:20:55 UTC 2025","passed","Fri Jan 03 17:20:56 UTC 2025","","Add new book to the system","Admin adds a new book successfully",""
"","100",": Update a book as a user","","Fri Jan 03 17:20:55 UTC 2025","passed","Fri Jan 03 17:20:55 UTC 2025","","Update Book API",": Update a book as a user",""
"","100","Validate that numbers are not accepted in title and author fields","","Fri Jan 03 17:20:55 UTC 2025","failed","Fri Jan 03 17:20:55 UTC 2025","","Update Book API","Validate that numbers are not accepted in title and author fields",""
"","128","User tries to add a new book","","Fri Jan 03 17:20:56 UTC 2025","passed","Fri Jan 03 17:20:56 UTC 2025","","Add new book to the system","User tries to add a new book",""
"","106","validate with empty string for author and title field","","Fri Jan 03 17:20:55 UTC 2025","failed","Fri Jan 03 17:20:55 UTC 2025","","Update Book API","validate with empty string for author and title field",""
"","122","Admin tries to add a book with an integer as the author (BUG EXPECTED)","","Fri Jan 03 17:20:56 UTC 2025","failed","Fri Jan 03 17:20:56 UTC 2025","","Add new book to the system","Admin tries to add a book with an integer as the author (BUG EXPECTED)",""
